,tf,idf,tfidf,entropy_tfidf
纯粹,2.5398975574651824e-05,6.654925417297567,0.00016902828812507048,0.6871306048854484
带窗,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
隅,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
公母,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
Theroomisslightlysmallerthanexpected,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
街边,3.95095175605695e-05,6.249460309189403,0.0002469131618300008,0.5985165017470873
张家港,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
后免,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
点滴,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
降价,5.644216794367072e-06,7.858898221623503,4.435732532770889e-05,0.693191537885273
肆无忌惮,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
敢,7.05527099295884e-05,5.699413972270131,0.0004021091007542177,0.4400719885020972
排水口,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
驾驶证,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
随要,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
浙西,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
出家,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
时间延迟,8.466325191550608e-06,7.571216149171722,6.410037801440733e-05,6.410037801440733e-05
毛血旺,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
高级,0.0002991434901014548,4.352340324303521,0.0013019742747214528,0.6137564854933941
干嗽,2.822108397183536e-06,8.264363329731667,2.3322929150211426e-05,2.3322929150211426e-05
